6d3ej6f4|275|book|Major Healing Potion|d6ffc4e2:2kunufor|d6ffc4e2:m1cdfomm,2,rpe_item;d6ffc4e2:dvzvvc52,1,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
n44dyrkb|275|book|Elixir of Brute Force|d6ffc4e2:x402hnc9|d6ffc4e2:rerdartb,2,rpe_item;d6ffc4e2:7tz4bmab,2,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
y2s2z7ln|275|book|Greater Dreamless Sleep Potion|d6ffc4e2:bkpxpe3b|d6ffc4e2:usfyk84u,2,rpe_item;d6ffc4e2:m1cdfomm,1,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
byrfajnz|275|book|Mageblood Potion|d6ffc4e2:d2dg98zl|d6ffc4e2:usfyk84u,1,rpe_item;d6ffc4e2:7tz4bmab,2,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
1vv4co0o|275|book|Transmute: Air to Fire|732368d4:50qj8dzw|732368d4:fiea7e66,1,rpe_item;d6ffc4e2:y9p4s8nt,1,tool
wuz07xm7|275|book|Transmute: Earth to Water|732368d4:7z1lti71|732368d4:tfwg197j,1,rpe_item;d6ffc4e2:y9p4s8nt,1,tool
tp0novy3|275|book|Transmute: Fire to Earth|732368d4:tfwg197j|732368d4:50qj8dzw,1,rpe_item;d6ffc4e2:y9p4s8nt,1,tool
rws3d4sj|275|book|Transmute: Water to Air|732368d4:fiea7e66|732368d4:7z1lti71,1,rpe_item;d6ffc4e2:y9p4s8nt,1,tool
vveqrprb|275|book|Transmute: Undeath to Water|732368d4:7z1lti71|732368d4:xtnbjwzj,1,rpe_item;d6ffc4e2:y9p4s8nt,1,tool
0qrr35qs|275|book|Transmute: Water to Undeath|732368d4:xtnbjwzj|732368d4:7z1lti71,1,rpe_item;d6ffc4e2:y9p4s8nt,1,tool
2e0gdeqe|275|book|Transmute: Life to Earth|732368d4:tfwg197j|732368d4:lxqnh3pp,1,rpe_item;d6ffc4e2:y9p4s8nt,1,tool
caps1gxz|275|book|Transmute: Earth to Life|732368d4:lxqnh3pp|732368d4:tfwg197j,1,rpe_item;d6ffc4e2:y9p4s8nt,1,tool
dixqi4ik|280|book|Elixir of the Mongoose|d6ffc4e2:lq06z28h|d6ffc4e2:dvzvvc52,2,rpe_item;d6ffc4e2:7tz4bmab,2,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
7otqlgmi|280|book|Greater Stoneshield Potion|d6ffc4e2:upe7gu78|d6ffc4e2:d4sw4y04,3,rpe_item;61fdf3df:5m4zt99z,1,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
5bl6pgyr|285|book|Greater Arcane Elixir|d6ffc4e2:nwftlu4o|d6ffc4e2:usfyk84u,3,rpe_item;d6ffc4e2:dvzvvc52,1,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
ffh1yklw|285|book|Living Action Potion|d6ffc4e2:xqjio6t3|d6ffc4e2:irt83rqo,2,rpe_item;d6ffc4e2:dvzvvc52,2,rpe_item;3eb7e9bb:w2plwren,2,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
hai6zrqv|285|book|Purification Potion|d6ffc4e2:ipzmdw83|d6ffc4e2:irt83rqo,2,rpe_item;d6ffc4e2:7tz4bmab,2,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
lm6cu07t|290|book|Major Troll's Blood Potion|d6ffc4e2:m7aqjcgd|d6ffc4e2:rerdartb,1,rpe_item;d6ffc4e2:7tz4bmab,2,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
3pcyvr6e|290|book|Greater Arcane Protection Potion|d6ffc4e2:8nrjnyxg|732368d4:gvva5lmf,1,rpe_item;d6ffc4e2:usfyk84u,1,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
evvra4vy|290|book|Greater Fire Protection Potion|d6ffc4e2:w4yo4wsz|732368d4:sclalidn,1,rpe_item;d6ffc4e2:usfyk84u,1,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
g7qoqwa1|290|book|Greater Frost Protection Potion|d6ffc4e2:33j8eydr|732368d4:vlwvpmfx,1,rpe_item;d6ffc4e2:usfyk84u,1,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
muwdq546|290|book|Greater Nature Protection Potion|d6ffc4e2:83krrxa2|732368d4:ku9j8vhw,1,rpe_item;d6ffc4e2:usfyk84u,1,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
d4lq4qrq|290|book|Greater Shadow Protection Potion|d6ffc4e2:ad3773v7|d6ffc4e2:e7s2o6tz,1,rpe_item;d6ffc4e2:usfyk84u,1,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
hou4hnxk|295|book|Major Mana Potion|d6ffc4e2:4cli4txh|d6ffc4e2:usfyk84u,3,rpe_item;d6ffc4e2:irt83rqo,2,rpe_item;d6ffc4e2:804x8qak,1,rpe_item
